Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
26,Fri,2020-01-03,,Morecambe,,Port Vale,,Globe Arena,,,
26,Fri,2020-01-03,,Stevenage,,Colchester Utd,,The Lamex Stadium,,,
26,Fri,2020-01-03,,Crawley Town,,FG Rovers,,Checkatrade.com Stadium,,,
26,Fri,2020-01-03,,Salford City,,Walsall,,The Peninsula Stadium,,,
26,Fri,2020-01-03,,Mansfield Town,,Grimsby Town,,One Call Stadium,,,
26,Fri,2020-01-03,,Swindon Town,,Bradford City,,The Energy Check County Ground,,,
26,Fri,2020-01-03,,Macclesfield,,Cambridge Utd,,Moss Rose Ground,,,
,,,,,,,,,,,
27,Fri,2020-01-10,,Crawley Town,,Bradford City,,Checkatrade.com Stadium,,,
27,Fri,2020-01-10,,Carlisle United,,Plymouth Argyle,,Brunton Park,,,
27,Fri,2020-01-10,,Leyton Orient,,Grimsby Town,,Matchroom Stadium,,,
27,Fri,2020-01-10,,Mansfield Town,,FG Rovers,,One Call Stadium,,,
27,Fri,2020-01-10,,Morecambe,,Colchester Utd,,Globe Arena,,,
27,Fri,2020-01-10,,Exeter City,,Cambridge Utd,,St. James' Park,,,
27,Fri,2020-01-10,,Salford City,,Northampton,,The Peninsula Stadium,,,
27,Fri,2020-01-10,,Stevenage,,Port Vale,,The Lamex Stadium,,,
27,Fri,2020-01-10,,Scunthorpe Utd,,Newport County,,Glanford Park,,,
27,Fri,2020-01-10,,Cheltenham,,Walsall,,Jonny-Rocks Stadium,,,
27,Fri,2020-01-10,,Swindon Town,,Crewe Alexandra,,The Energy Check County Ground,,,
27,Fri,2020-01-10,,Macclesfield,,Oldham Athletic,,Moss Rose Ground,,,
,,,,,,,,,,,
28,Fri,2020-01-17,,Port Vale,,Leyton Orient,,Vale Park,,,
28,Fri,2020-01-17,,Newport County,,Swindon Town,,Rodney Parade,,,
28,Fri,2020-01-17,,Northampton,,Morecambe,,Academy Stadium,,,
28,Fri,2020-01-17,,Cambridge Utd,,Stevenage,,The Abbey Stadium,,,
28,Fri,2020-01-17,,Walsall,,Crawley Town,,The Banks's Stadium,,,
28,Fri,2020-01-17,,Plymouth Argyle,,Mansfield Town,,Home Park,,,
28,Fri,2020-01-17,,Crewe Alexandra,,Cheltenham,,Alexandra Stadium,,,
28,Fri,2020-01-17,,FG Rovers,,Salford City,,The New Lawn,,,
28,Fri,2020-01-17,,Grimsby Town,,Exeter City,,Blundell Park,,,
28,Fri,2020-01-17,,Colchester Utd,,Macclesfield,,JobServe Community Stadium,,,
28,Fri,2020-01-17,,Bradford City,,Scunthorpe Utd,,Northern Commercials Stadium,,,
28,Fri,2020-01-17,,Oldham Athletic,,Carlisle United,,Boundary Park,,,
,,,,,,,,,,,
29,Fri,2020-01-24,,Salford City,,Oldham Athletic,,The Peninsula Stadium,,,
29,Fri,2020-01-24,,Macclesfield,,FG Rovers,,Moss Rose Ground,,,
29,Fri,2020-01-24,,Morecambe,,Cambridge Utd,,Globe Arena,,,
29,Fri,2020-01-24,,Crawley Town,,Grimsby Town,,Checkatrade.com Stadium,,,
29,Fri,2020-01-24,,Scunthorpe Utd,,Crewe Alexandra,,Glanford Park,,,
29,Fri,2020-01-24,,Swindon Town,,Port Vale,,The Energy Check County Ground,,,
29,Fri,2020-01-24,,Carlisle United,,Walsall,,Brunton Park,,,
29,Fri,2020-01-24,,Mansfield Town,,Bradford City,,One Call Stadium,,,
29,Fri,2020-01-24,,Exeter City,,Colchester Utd,,St. James' Park,,,
29,Fri,2020-01-24,,Leyton Orient,,Newport County,,Matchroom Stadium,,,
29,Fri,2020-01-24,,Stevenage,,Plymouth Argyle,,The Lamex Stadium,,,
29,Fri,2020-01-24,,Cheltenham,,Northampton,,Jonny-Rocks Stadium,,,
,,,,,,,,,,,
30,Mon,2020-01-27,,Walsall,,Morecambe,,The Banks's Stadium,,,
30,Mon,2020-01-27,,Newport County,,Macclesfield,,Rodney Parade,,,
30,Mon,2020-01-27,,Oldham Athletic,,Mansfield Town,,Boundary Park,,,
30,Mon,2020-01-27,,Plymouth Argyle,,Crawley Town,,Home Park,,,
30,Mon,2020-01-27,,Northampton,,Scunthorpe Utd,,Academy Stadium,,,
30,Mon,2020-01-27,,FG Rovers,,Carlisle United,,The New Lawn,,,
30,Mon,2020-01-27,,Crewe Alexandra,,Leyton Orient,,Alexandra Stadium,,,
30,Mon,2020-01-27,,Bradford City,,Cheltenham,,Northern Commercials Stadium,,,
30,Mon,2020-01-27,,Port Vale,,Exeter City,,Vale Park,,,
30,Mon,2020-01-27,,Colchester Utd,,Swindon Town,,JobServe Community Stadium,,,
30,Mon,2020-01-27,,Cambridge Utd,,Salford City,,The Abbey Stadium,,,
30,Mon,2020-01-27,,Grimsby Town,,Stevenage,,Blundell Park,,,
,,,,,,,,,,,
31,Fri,2020-01-31,,Port Vale,,Salford City,,Vale Park,,,
31,Fri,2020-01-31,,Swindon Town,,Exeter City,,The Energy Check County Ground,,,
31,Fri,2020-01-31,,Stevenage,,Leyton Orient,,The Lamex Stadium,,,
31,Fri,2020-01-31,,Crawley Town,,Scunthorpe Utd,,Checkatrade.com Stadium,,,
31,Fri,2020-01-31,,Mansfield Town,,Carlisle United,,One Call Stadium,,,
31,Fri,2020-01-31,,Oldham Athletic,,Bradford City,,Boundary Park,,,
31,Fri,2020-01-31,,Cambridge Utd,,Colchester Utd,,The Abbey Stadium,,,
31,Fri,2020-01-31,,Walsall,,Crewe Alexandra,,The Banks's Stadium,,,
31,Fri,2020-01-31,,Macclesfield,,Northampton,,Moss Rose Ground,,,
31,Fri,2020-01-31,,Plymouth Argyle,,Newport County,,Home Park,,,
31,Fri,2020-01-31,,Grimsby Town,,FG Rovers,,Blundell Park,,,
31,Fri,2020-01-31,,Cheltenham,,Morecambe,,Jonny-Rocks Stadium,,,
,,,,,,,,,,,
32,Fri,2020-02-07,,Leyton Orient,,Macclesfield,,Matchroom Stadium,,,
32,Fri,2020-02-07,,Exeter City,,Stevenage,,St. James' Park,,,
32,Fri,2020-02-07,,FG Rovers,,Walsall,,The New Lawn,,,
32,Fri,2020-02-07,,Newport County,,Cambridge Utd,,Rodney Parade,,,
32,Fri,2020-02-07,,Salford City,,Crawley Town,,The Peninsula Stadium,,,
32,Fri,2020-02-07,,Scunthorpe Utd,,Cheltenham,,Glanford Park,,,
32,Fri,2020-02-07,,Carlisle United,,Swindon Town,,Brunton Park,,,
32,Fri,2020-02-07,,Morecambe,,Mansfield Town,,Globe Arena,,,
32,Fri,2020-02-07,,Bradford City,,Grimsby Town,,Northern Commercials Stadium,,,
32,Fri,2020-02-07,,Northampton,,Port Vale,,Academy Stadium,,,
32,Fri,2020-02-07,,Crewe Alexandra,,Oldham Athletic,,Alexandra Stadium,,,
32,Fri,2020-02-07,,Colchester Utd,,Plymouth Argyle,,JobServe Community Stadium,,,
,,,,,,,,,,,
33,Mon,2020-02-10,,Leyton Orient,,Mansfield Town,,Matchroom Stadium,,,
33,Mon,2020-02-10,,Carlisle United,,Cheltenham,,Brunton Park,,,
33,Mon,2020-02-10,,Bradford City,,Stevenage,,Northern Commercials Stadium,,,
33,Mon,2020-02-10,,Morecambe,,Macclesfield,,Globe Arena,,,
33,Mon,2020-02-10,,Newport County,,Walsall,,Rodney Parade,,,
33,Mon,2020-02-10,,Salford City,,Plymouth Argyle,,The Peninsula Stadium,,,
33,Mon,2020-02-10,,Crewe Alexandra,,Crawley Town,,Alexandra Stadium,,,
33,Mon,2020-02-10,,Northampton,,Swindon Town,,Academy Stadium,,,
33,Mon,2020-02-10,,FG Rovers,,Port Vale,,The New Lawn,,,
33,Mon,2020-02-10,,Colchester Utd,,Grimsby Town,,JobServe Community Stadium,,,
33,Mon,2020-02-10,,Scunthorpe Utd,,Cambridge Utd,,Glanford Park,,,
33,Mon,2020-02-10,,Exeter City,,Oldham Athletic,,St. James' Park,,,
,,,,,,,,,,,
34,Fri,2020-02-14,,Walsall,,Northampton,,The Banks's Stadium,,,
34,Fri,2020-02-14,,Crawley Town,,Carlisle United,,Checkatrade.com Stadium,,,
34,Fri,2020-02-14,,Plymouth Argyle,,Crewe Alexandra,,Home Park,,,
34,Fri,2020-02-14,,Swindon Town,,Scunthorpe Utd,,The Energy Check County Ground,,,
34,Fri,2020-02-14,,Stevenage,,Salford City,,The Lamex Stadium,,,
34,Fri,2020-02-14,,Port Vale,,Colchester Utd,,Vale Park,,,
34,Fri,2020-02-14,,Cambridge Utd,,Bradford City,,The Abbey Stadium,,,
34,Fri,2020-02-14,,Grimsby Town,,Morecambe,,Blundell Park,,,
34,Fri,2020-02-14,,Macclesfield,,Exeter City,,Moss Rose Ground,,,
34,Fri,2020-02-14,,Mansfield Town,,Newport County,,One Call Stadium,,,
34,Fri,2020-02-14,,Oldham Athletic,,FG Rovers,,Boundary Park,,,
34,Fri,2020-02-14,,Cheltenham,,Leyton Orient,,Jonny-Rocks Stadium,,,
,,,,,,,,,,,
35,Fri,2020-02-21,,Carlisle United,,Morecambe,,Brunton Park,,,
35,Fri,2020-02-21,,Crewe Alexandra,,Macclesfield,,Alexandra Stadium,,,
35,Fri,2020-02-21,,Walsall,,Port Vale,,The Banks's Stadium,,,
35,Fri,2020-02-21,,Salford City,,Colchester Utd,,The Peninsula Stadium,,,
35,Fri,2020-02-21,,Swindon Town,,Grimsby Town,,The Energy Check County Ground,,,
35,Fri,2020-02-21,,Plymouth Argyle,,Cambridge Utd,,Home Park,,,
35,Fri,2020-02-21,,Northampton,,Exeter City,,Academy Stadium,,,
35,Fri,2020-02-21,,Crawley Town,,Stevenage,,Checkatrade.com Stadium,,,
35,Fri,2020-02-21,,Leyton Orient,,Oldham Athletic,,Matchroom Stadium,,,
35,Fri,2020-02-21,,Scunthorpe Utd,,FG Rovers,,Glanford Park,,,
35,Fri,2020-02-21,,Cheltenham,,Mansfield Town,,Jonny-Rocks Stadium,,,
35,Fri,2020-02-21,,Newport County,,Bradford City,,Rodney Parade,,,
,,,,,,,,,,,
36,Fri,2020-02-28,,Port Vale,,Scunthorpe Utd,,Vale Park,,,
36,Fri,2020-02-28,,Stevenage,,Walsall,,The Lamex Stadium,,,
36,Fri,2020-02-28,,Macclesfield,,Salford City,,Moss Rose Ground,,,
36,Fri,2020-02-28,,Morecambe,,Crewe Alexandra,,Globe Arena,,,
36,Fri,2020-02-28,,FG Rovers,,Leyton Orient,,The New Lawn,,,
36,Fri,2020-02-28,,Mansfield Town,,Swindon Town,,One Call Stadium,,,
36,Fri,2020-02-28,,Exeter City,,Crawley Town,,St. James' Park,,,
36,Fri,2020-02-28,,Bradford City,,Plymouth Argyle,,Northern Commercials Stadium,,,
36,Fri,2020-02-28,,Colchester Utd,,Cheltenham,,JobServe Community Stadium,,,
36,Fri,2020-02-28,,Grimsby Town,,Northampton,,Blundell Park,,,
36,Fri,2020-02-28,,Cambridge Utd,,Carlisle United,,The Abbey Stadium,,,
36,Fri,2020-02-28,,Oldham Athletic,,Newport County,,Boundary Park,,,
,,,,,,,,,,,
37,Fri,2020-03-06,,Newport County,,Morecambe,,Rodney Parade,,,
37,Fri,2020-03-06,,Northampton,,Mansfield Town,,Academy Stadium,,,
37,Fri,2020-03-06,,Carlisle United,,Colchester Utd,,Brunton Park,,,
37,Fri,2020-03-06,,Walsall,,Exeter City,,The Banks's Stadium,,,
37,Fri,2020-03-06,,Leyton Orient,,Cambridge Utd,,Matchroom Stadium,,,
37,Fri,2020-03-06,,Plymouth Argyle,,Macclesfield,,Home Park,,,
37,Fri,2020-03-06,,Crawley Town,,Oldham Athletic,,Checkatrade.com Stadium,,,
37,Fri,2020-03-06,,Cheltenham,,Port Vale,,Jonny-Rocks Stadium,,,
37,Fri,2020-03-06,,Scunthorpe Utd,,Grimsby Town,,Glanford Park,,,
37,Fri,2020-03-06,,Crewe Alexandra,,Stevenage,,Alexandra Stadium,,,
37,Fri,2020-03-06,,Swindon Town,,FG Rovers,,The Energy Check County Ground,,,
37,Fri,2020-03-06,,Salford City,,Bradford City,,The Peninsula Stadium,,,
,,,,,,,,,,,
38,Fri,2020-03-13,,Stevenage,,Newport County,,The Lamex Stadium,,,
38,Fri,2020-03-13,,Exeter City,,Salford City,,St. James' Park,,,
38,Fri,2020-03-13,,FG Rovers,,Northampton,,The New Lawn,,,
38,Fri,2020-03-13,,Bradford City,,Leyton Orient,,Northern Commercials Stadium,,,
38,Fri,2020-03-13,,Colchester Utd,,Scunthorpe Utd,,JobServe Community Stadium,,,
38,Fri,2020-03-13,,Cambridge Utd,,Cheltenham,,The Abbey Stadium,,,
38,Fri,2020-03-13,,Morecambe,,Plymouth Argyle,,Globe Arena,,,
38,Fri,2020-03-13,,Grimsby Town,,Carlisle United,,Blundell Park,,,
38,Fri,2020-03-13,,Oldham Athletic,,Swindon Town,,Boundary Park,,,
38,Fri,2020-03-13,,Port Vale,,Crawley Town,,Vale Park,,,
38,Fri,2020-03-13,,Mansfield Town,,Crewe Alexandra,,One Call Stadium,,,
38,Fri,2020-03-13,,Macclesfield,,Walsall,,Moss Rose Ground,,,
,,,,,,,,,,,
39,Mon,2020-03-16,,Macclesfield,,Cheltenham,,Moss Rose Ground,,,
39,Mon,2020-03-16,,Port Vale,,Bradford City,,Vale Park,,,
39,Mon,2020-03-16,,FG Rovers,,Morecambe,,The New Lawn,,,
39,Mon,2020-03-16,,Walsall,,Oldham Athletic,,The Banks's Stadium,,,
39,Mon,2020-03-16,,Leyton Orient,,Plymouth Argyle,,Matchroom Stadium,,,
39,Mon,2020-03-16,,Exeter City,,Scunthorpe Utd,,St. James' Park,,,
39,Mon,2020-03-16,,Stevenage,,Swindon Town,,The Lamex Stadium,,,
39,Mon,2020-03-16,,Grimsby Town,,Cambridge Utd,,Blundell Park,,,
39,Mon,2020-03-16,,Crawley Town,,Newport County,,Checkatrade.com Stadium,,,
39,Mon,2020-03-16,,Salford City,,Mansfield Town,,The Peninsula Stadium,,,
39,Mon,2020-03-16,,Colchester Utd,,Crewe Alexandra,,JobServe Community Stadium,,,
39,Mon,2020-03-16,,Northampton,,Carlisle United,,Academy Stadium,,,
,,,,,,,,,,,
40,Fri,2020-03-20,,Oldham Athletic,,Port Vale,,Boundary Park,,,
40,Fri,2020-03-20,,Cambridge Utd,,Northampton,,The Abbey Stadium,,,
40,Fri,2020-03-20,,Bradford City,,Macclesfield,,Northern Commercials Stadium,,,
40,Fri,2020-03-20,,Morecambe,,Stevenage,,Globe Arena,,,
40,Fri,2020-03-20,,Swindon Town,,Crawley Town,,The Energy Check County Ground,,,
40,Fri,2020-03-20,,Cheltenham,,Grimsby Town,,Jonny-Rocks Stadium,,,
40,Fri,2020-03-20,,Newport County,,Colchester Utd,,Rodney Parade,,,
40,Fri,2020-03-20,,Scunthorpe Utd,,Salford City,,Glanford Park,,,
40,Fri,2020-03-20,,Crewe Alexandra,,FG Rovers,,Alexandra Stadium,,,
40,Fri,2020-03-20,,Carlisle United,,Leyton Orient,,Brunton Park,,,
40,Fri,2020-03-20,,Plymouth Argyle,,Exeter City,,Home Park,,,
40,Fri,2020-03-20,,Mansfield Town,,Walsall,,One Call Stadium,,,
,,,,,,,,,,,
41,Fri,2020-03-27,,Walsall,,Swindon Town,,The Banks's Stadium,,,
41,Fri,2020-03-27,,Grimsby Town,,Plymouth Argyle,,Blundell Park,,,
41,Fri,2020-03-27,,Macclesfield,,Carlisle United,,Moss Rose Ground,,,
41,Fri,2020-03-27,,Leyton Orient,,Morecambe,,Matchroom Stadium,,,
41,Fri,2020-03-27,,Northampton,,Oldham Athletic,,Academy Stadium,,,
41,Fri,2020-03-27,,Exeter City,,Bradford City,,St. James' Park,,,
41,Fri,2020-03-27,,Crawley Town,,Cambridge Utd,,Checkatrade.com Stadium,,,
41,Fri,2020-03-27,,Colchester Utd,,Mansfield Town,,JobServe Community Stadium,,,
41,Fri,2020-03-27,,Salford City,,Newport County,,The Peninsula Stadium,,,
41,Fri,2020-03-27,,Stevenage,,Scunthorpe Utd,,The Lamex Stadium,,,
41,Fri,2020-03-27,,Port Vale,,Crewe Alexandra,,Vale Park,,,
41,Fri,2020-03-27,,FG Rovers,,Cheltenham,,The New Lawn,,,
,,,,,,,,,,,
42,Fri,2020-04-03,,Crewe Alexandra,,Northampton,,Alexandra Stadium,,,
42,Fri,2020-04-03,,Cambridge Utd,,Walsall,,The Abbey Stadium,,,
42,Fri,2020-04-03,,Oldham Athletic,,Stevenage,,Boundary Park,,,
42,Fri,2020-04-03,,Swindon Town,,Salford City,,The Energy Check County Ground,,,
42,Fri,2020-04-03,,Newport County,,Grimsby Town,,Rodney Parade,,,
42,Fri,2020-04-03,,Cheltenham,,Exeter City,,Jonny-Rocks Stadium,,,
42,Fri,2020-04-03,,Scunthorpe Utd,,Leyton Orient,,Glanford Park,,,
42,Fri,2020-04-03,,Plymouth Argyle,,FG Rovers,,Home Park,,,
42,Fri,2020-04-03,,Bradford City,,Colchester Utd,,Northern Commercials Stadium,,,
42,Fri,2020-04-03,,Carlisle United,,Port Vale,,Brunton Park,,,
42,Fri,2020-04-03,,Mansfield Town,,Macclesfield,,One Call Stadium,,,
42,Fri,2020-04-03,,Morecambe,,Crawley Town,,Globe Arena,,,
,,,,,,,,,,,
43,Thu,2020-04-09,,Stevenage,,Mansfield Town,,The Lamex Stadium,,,
43,Thu,2020-04-09,,FG Rovers,,Bradford City,,The New Lawn,,,
43,Thu,2020-04-09,,Crawley Town,,Leyton Orient,,Checkatrade.com Stadium,,,
43,Thu,2020-04-09,,Northampton,,Colchester Utd,,Academy Stadium,,,
43,Thu,2020-04-09,,Port Vale,,Grimsby Town,,Vale Park,,,
43,Thu,2020-04-09,,Oldham Athletic,,Cambridge Utd,,Boundary Park,,,
43,Thu,2020-04-09,,Crewe Alexandra,,Newport County,,Alexandra Stadium,,,
43,Thu,2020-04-09,,Swindon Town,,Cheltenham,,The Energy Check County Ground,,,
43,Thu,2020-04-09,,Scunthorpe Utd,,Macclesfield,,Glanford Park,,,
43,Thu,2020-04-09,,Exeter City,,Morecambe,,St. James' Park,,,
43,Thu,2020-04-09,,Salford City,,Carlisle United,,The Peninsula Stadium,,,
43,Thu,2020-04-09,,Walsall,,Plymouth Argyle,,The Banks's Stadium,,,
,,,,,,,,,,,
44,Sun,2020-04-12,,Bradford City,,Crewe Alexandra,,Northern Commercials Stadium,,,
44,Sun,2020-04-12,,Carlisle United,,Scunthorpe Utd,,Brunton Park,,,
44,Sun,2020-04-12,,Mansfield Town,,Exeter City,,One Call Stadium,,,
44,Sun,2020-04-12,,Cambridge Utd,,Port Vale,,The Abbey Stadium,,,
44,Sun,2020-04-12,,Cheltenham,,Crawley Town,,Jonny-Rocks Stadium,,,
44,Sun,2020-04-12,,Newport County,,FG Rovers,,Rodney Parade,,,
44,Sun,2020-04-12,,Macclesfield,,Stevenage,,Moss Rose Ground,,,
44,Sun,2020-04-12,,Colchester Utd,,Oldham Athletic,,JobServe Community Stadium,,,
44,Sun,2020-04-12,,Leyton Orient,,Salford City,,Matchroom Stadium,,,
44,Sun,2020-04-12,,Plymouth Argyle,,Northampton,,Home Park,,,
44,Sun,2020-04-12,,Grimsby Town,,Walsall,,Blundell Park,,,
44,Sun,2020-04-12,,Morecambe,,Swindon Town,,Globe Arena,,,
,,,,,,,,,,,
45,Fri,2020-04-17,,Crawley Town,,Macclesfield,,Checkatrade.com Stadium,,,
45,Fri,2020-04-17,,FG Rovers,,Cambridge Utd,,The New Lawn,,,
45,Fri,2020-04-17,,Oldham Athletic,,Plymouth Argyle,,Boundary Park,,,
45,Fri,2020-04-17,,Stevenage,,Cheltenham,,The Lamex Stadium,,,
45,Fri,2020-04-17,,Exeter City,,Carlisle United,,St. James' Park,,,
45,Fri,2020-04-17,,Scunthorpe Utd,,Mansfield Town,,Glanford Park,,,
45,Fri,2020-04-17,,Crewe Alexandra,,Grimsby Town,,Alexandra Stadium,,,
45,Fri,2020-04-17,,Swindon Town,,Leyton Orient,,The Energy Check County Ground,,,
45,Fri,2020-04-17,,Northampton,,Bradford City,,Academy Stadium,,,
45,Fri,2020-04-17,,Walsall,,Colchester Utd,,The Banks's Stadium,,,
45,Fri,2020-04-17,,Port Vale,,Newport County,,Vale Park,,,
45,Fri,2020-04-17,,Salford City,,Morecambe,,The Peninsula Stadium,,,
,,,,,,,,,,,
46,Fri,2020-04-24,,Grimsby Town,,Oldham Athletic,,Blundell Park,,,
46,Fri,2020-04-24,,Leyton Orient,,Exeter City,,Matchroom Stadium,,,
46,Fri,2020-04-24,,Carlisle United,,Stevenage,,Brunton Park,,,
46,Fri,2020-04-24,,Plymouth Argyle,,Port Vale,,Home Park,,,
46,Fri,2020-04-24,,Bradford City,,Walsall,,Northern Commercials Stadium,,,
46,Fri,2020-04-24,,Cambridge Utd,,Crewe Alexandra,,The Abbey Stadium,,,
46,Fri,2020-04-24,,Colchester Utd,,FG Rovers,,JobServe Community Stadium,,,
46,Fri,2020-04-24,,Mansfield Town,,Crawley Town,,One Call Stadium,,,
46,Fri,2020-04-24,,Morecambe,,Scunthorpe Utd,,Globe Arena,,,
46,Fri,2020-04-24,,Cheltenham,,Salford City,,Jonny-Rocks Stadium,,,
46,Fri,2020-04-24,,Newport County,,Northampton,,Rodney Parade,,,
46,Fri,2020-04-24,,Macclesfield,,Swindon Town,,Moss Rose Ground,,,
